62,50,38,43
18,38,41,48
38,56,36,1
45,58,54,51
37,2,28,44
41,5,2,47
21,63,7,45
57,20,28,38
22,9,4,49
11,34,22,39
19,40,15,18
54,44,47,34
62,44,11,32
19,43,43,44
47,31,26,19
56,19,67,43
65,62,19,58
34,24,44,27
60,47,20,48
18,34,56,29
67,6,38,10
8,18,62,62
14,24,21,40
36,32,42,34
66,15,15,58
14,55,18,51
25,10,12,57
18,29,12,60
11,67,44,59
28,49,50,67
1,51,18,67
12,42,62,57
41,58,14,32
43,1,11,31
7,53,66,7
15,45,52,50
38,27,37,42
52,7,41,56
32,48,19,9
26,67,18,49
22,25,2,24
10,48,60,41
12,43,25,43
15,32,57,55
28,31,30,5
2,41,32,14
42,51,10,25
26,39,34,6
44,14,22,2
